539875,RSDFIN,RSD Finance Ltd,11-Feb-20,Stock  Split From Rs.10/- to Rs.5/-,12-Feb-20,-,-,05-Feb-20,11-Feb-20,-
539526,SCTL,Suncare Traders Ltd,06-Mar-20,Stock  Split From Rs.10/- to Rs.2/-,09-Mar-20,-,-,02-Mar-20,06-Mar-20,-
507944,BAJAJST,BAJAJ STEEL INDUSTRIES LTD.,24-Mar-20,Stock  Split From Rs.10/- to Rs.5/-,26-Mar-20,-,-,19-Mar-20,25-Mar-20,-
541956,IRCON,IRCON International Ltd,03-Apr-20,Stock  Split From Rs.10/- to Rs.2/-,07-Apr-20,-,-,27-Mar-20,03-Apr-20,-
506642,SADHNANIQ,SADHANA NITROCHEM LTD.,03-Apr-20,Stock  Split From Rs.5/- to Rs.1/-,07-Apr-20,-,-,31-Mar-20,03-Apr-20,-
539894,MADHAVIPL,Madhav Infra Projects Ltd,27-Apr-20,Stock  Split From Rs.10/- to Rs.1/-,28-Apr-20,-,-,21-Apr-20,27-Apr-20,-
523023,SINCLAIR,SINCLAIRS HOTELS LTD.-$,17-Jun-20,Stock  Split From Rs.10/- to Rs.2/-,18-Jun-20,-,-,11-Jun-20,17-Jun-20,-
501343,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,19-Jun-20,Stock  Split From Rs.10/- to Rs.5/-,22-Jun-20,-,-,15-Jun-20,19-Jun-20,-
541161,KARDA,Karda Constructions Ltd,02-Jul-20,Stock  Split From Rs.10/- to Rs.2/-,03-Jul-20,-,-,26-Jun-20,02-Jul-20,-
532937,KUANTUM,KUANTUM PAPERS LTD.,14-Jul-20,Stock  Split From Rs.10/- to Rs.1/-,15-Jul-20,-,-,08-Jul-20,14-Jul-20,-
531065,OSWALOR,OSWAL OVERSEAS LTD.,13-Aug-20,Stock  Split From Rs.10/- to Rs.5/-,14-Aug-20,-,-,07-Aug-20,13-Aug-20,-
505200,EICHERMOT,EICHER MOTORS LTD.,24-Aug-20,Stock  Split From Rs.10/- to Rs.1/-,25-Aug-20,-,-,19-Aug-20,24-Aug-20,-
523160,MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,31-Aug-20,Stock  Split From Rs.10/- to Rs.5/-,01-Sep-20,-,-,25-Aug-20,31-Aug-20,-
539097,HKG,HKG Ltd,03-Sep-20,Stock  Split From Rs.10/- to Rs.2/-,04-Sep-20,-,-,28-Aug-20,03-Sep-20,-
539354,POLYSPIN,Polyspin Exports Ltd,07-Sep-20,Stock  Split From Rs.10/- to Rs.5/-,08-Sep-20,-,-,02-Sep-20,07-Sep-20,-
540222,LAURUSLABS,Laurus Labs Ltd,29-Sep-20,Stock  Split From Rs.10/- to Rs.2/-,30-Sep-20,-,-,23-Sep-20,29-Sep-20,-
524226,GAEL,GUJARAT AMBUJA EXPORTS LTD.,01-Oct-20,Stock  Split From Rs.2/- to Rs.1/-,05-Oct-20,-,-,25-Sep-20,01-Oct-20,-
540259,SHANGAR,Shangar Decor Ltd,12-Oct-20,Stock  Split From Rs.10/- to Rs.5/-,13-Oct-20,-,-,06-Oct-20,12-Oct-20,-
507514,SDBL,SOM DISTILLERIES & BREWERIES LTD.,15-Oct-20,Stock  Split From Rs.10/- to Rs.5/-,16-Oct-20,-,-,09-Oct-20,15-Oct-20,-
539982,ASYL,Advance Syntex Ltd,04-Jan-17,Bonus issue 3:20,05-Jan-17,-,-,29-Dec-16,04-Jan-17,-
531723,STAMPEDE,Stampede Capital Limited,10-Jan-17,Bonus issue 1:4,11-Jan-17,-,-,09-Jan-17,10-Jan-17,-
533106,OIL,OIL INDIA LTD.,12-Jan-17,Bonus issue 1:3,13-Jan-17,-,-,06-Jan-17,12-Jan-17,-
524764,NUTRA,Nutraplus India Limited,19-Jan-17,Bonus issue 1:10,20-Jan-17,-,-,13-Jan-17,19-Jan-17,-
539223,AMBITION,Ambition Mica Ltd,03-Feb-17,Bonus issue 1:2,06-Feb-17,-,-,30-Jan-17,03-Feb-17,-
531109,ISHANCH,ISHAN DYES & CHEMICALS LTD.,14-Feb-17,Bonus issue 1:2,15-Feb-17,-,-,08-Feb-17,14-Feb-17,-
512626,ORBTEXP,ORBIT EXPORTS LTD.,14-Feb-17,Bonus issue 1:1,15-Feb-17,-,-,09-Feb-17,14-Feb-17,-
534309,NBCC,NBCC (India) Ltd,17-Feb-17,Bonus issue 1:2,21-Feb-17,-,-,14-Feb-17,17-Feb-17,-
539017,ASHFL,Akme Star Housing Finance Ltd,07-Mar-17,Bonus issue 1:1,08-Mar-17,-,-,01-Mar-17,07-Mar-17,-
539428,TEJNAKSH,Tejnaksh Healthcare Ltd,08-Mar-17,Bonus issue 1:1,09-Mar-17,-,-,02-Mar-17,08-Mar-17,-
532155,GAIL,GAIL (INDIA) LTD.,09-Mar-17,Bonus issue 1:3,11-Mar-17,-,-,06-Mar-17,09-Mar-17,-
540023,COLORCHIPS,Colorchips New Media Ltd,10-Mar-17,Bonus issue 1:1,14-Mar-17,-,-,06-Mar-17,10-Mar-17,-
539686,KPEL,K.P. Energy Ltd,15-Mar-17,Bonus issue 1.501     ,16-Mar-17,-,-,08-Mar-17,15-Mar-17,-
532953,VGUARD,V-GUARD INDUSTRIES LTD.,15-Mar-17,Bonus issue 2:5,16-Mar-17,-,-,08-Mar-17,15-Mar-17,-
536170,KUSHAL,Kushal Ltd,16-Mar-17,Bonus issue 1:1,17-Mar-17,-,-,09-Mar-17,16-Mar-17,-
531768,POLYMED,POLY MEDICURE LTD.,24-Mar-17,Bonus issue 1:1,28-Mar-17,-,-,21-Mar-17,24-Mar-17,-
540024,ASHARI,Ashari Agencies Ltd,31-Mar-17,Bonus issue 4:1,03-Apr-17,-,-,24-Mar-17,31-Mar-17,-
531344,CONCOR,CONTAINER CORPORATION OF INDIA LTD.,05-Apr-17,Bonus issue 1:4,06-Apr-17,-,-,29-Mar-17,05-Apr-17,-
534734,RMCHEM,Ram Minerals and Chemicals Ltd,18-Apr-17,Bonus issue 4:1,19-Apr-17,-,-,11-Apr-17,18-Apr-17,-
